20161122:11393667 |[UPDATE][pNIC1] pNIC_Latency(532) 

20161122:11393667 |[UPDATE][pNIC1] pNIC_Latency(532) 

20161122:11393667 |[UPDATE][pNIC1] pNIC_Latency(533) 

20161122:11393667 |[UPDATE][pNIC1] pNIC_Latency(533) 

20161122:11393667 |[UPDATE][pNIC1] pNIC_Latency(533) 

20161122:11393667 |[UPDATE][pNIC1] pNIC_Latency(531) 

20161122:11393667 |[UPDATE][pNIC1] pNIC_Latency(532) 

20161122:11393670 |[UPDATE][pNIC2] pNIC_Latency(533) 

20161122:11393670 |[UPDATE][pNIC2] pNIC_Latency(533) 

20161122:11393670 |[UPDATE][pNIC2] pNIC_Latency(533) 

20161122:11393670 |[UPDATE][pNIC2] pNIC_Latency(531) 

20161122:11393670 |[UPDATE][pNIC2] pNIC_Latency(532) 

20161122:11393670 |[UPDATE][pNIC2] pNIC_Latency(532) 

20161122:11393670 |[UPDATE][pNIC2] pNIC_Latency(532) 

20161122:11393670 |[UPDATE][pNIC2] pNIC_Latency(531) 

20161122:11393670 |[UPDATE][pNIC2] pNIC_Latency(533) 

20161122:11393674 |[UPDATE][pNIC3] pNIC_Latency(533) 

20161122:11393674 |[UPDATE][pNIC3] pNIC_Latency(533) 

20161122:11393674 |[UPDATE][pNIC3] pNIC_Latency(533) 

20161122:11393674 |[UPDATE][pNIC3] pNIC_Latency(531) 

20161122:11393674 |[UPDATE][pNIC3] pNIC_Latency(532) 

20161122:11393674 |[UPDATE][pNIC3] pNIC_Latency(532) 

20161122:11393674 |[UPDATE][pNIC3] pNIC_Latency(532) 

20161122:11393674 |[UPDATE][pNIC3] pNIC_Latency(531) 

20161122:11393674 |[UPDATE][pNIC3] pNIC_Latency(533) 

20161122:11393677 |[UPDATE][pNIC4] pNIC_Latency(531) 

20161122:11393677 |[UPDATE][pNIC4] pNIC_Latency(532) 

20161122:11393677 |[UPDATE][pNIC4] pNIC_Latency(533) 

20161122:11403667 |[UPDATE][pNIC1] pNIC_Latency(532) 

20161122:11403667 |[UPDATE][pNIC1] pNIC_Latency(532) 

20161122:11403667 |[UPDATE][pNIC1] pNIC_Latency(531) 

20161122:11403667 |[UPDATE][pNIC1] pNIC_Latency(533) 

20161122:11403667 |[UPDATE][pNIC1] pNIC_Latency(531) 

20161122:11403667 |[UPDATE][pNIC1] pNIC_Latency(530) 

20161122:11403667 |[UPDATE][pNIC1] pNIC_Latency(533) 

20161122:11403667 |[UPDATE][pNIC1] pNIC_Latency(532) 

20161122:11403670 |[UPDATE][pNIC2] pNIC_Latency(531) 

20161122:11403670 |[UPDATE][pNIC2] pNIC_Latency(530) 

